"Severity","Appender","Date","Time","Category","Message"
"INFO","COLDBOXFILE","08/31/2012","12:00:06","coldbox.system.cache.providers.CacheBoxColdBoxProvider","CacheBox Cache: default has been initialized successfully for operation"
"INFO","COLDBOXFILE","08/31/2012","12:00:06","coldbox.system.cache.providers.CacheBoxColdBoxProvider","CacheBox Cache: TEMPLATE has been initialized successfully for operation"
"INFO","COLDBOXFILE","08/31/2012","12:02:26","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:02:26","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 5ms for CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:02:26","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:02:26","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 39ms for CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:07:18","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:07:18","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:07:18","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 6ms for CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:07:18","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 6ms for CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:11:40","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:11:40","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:11:40","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 5ms for CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:11:40","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 8ms for CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:13:55","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:13:55","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 4ms for CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:13:55","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:13:55","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 3ms for CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:21:10","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:21:10","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 4ms for CacheBoxProvider: TEMPLATE, id: 17025045"
"INFO","COLDBOXFILE","08/31/2012","12:21:10","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Starting to reap CacheBoxProvider: default, id: 4619754"
"INFO","COLDBOXFILE","08/31/2012","12:21:10","coldbox.system.cache.providers.CacheBoxColdBoxProvider","Finished reap in 8ms for CacheBoxProvider: default, id: 4619754"
"ERROR","COLDBOXFILE","08/31/2012","12:21:11","DeNotes","Invalid Event detected: security.getUser. Path info: /security/getUser/ , query string:"
